Dataset,Method,File,Accuracy,BalancedAcc,F1,HarmonicMean_PI,Interpretability,kendall_tau,MCC,PR_AUC,Precision,PredictiveScore,Recall,ROC_AUC,separability(1-N3)
bank-marketing,SMOTE,SMOTENC.csv,0.9025 ± 0.0034,0.9041 ± 0.0026,0.8896 ± 0.0029,0.6010 ± 0.0200,0.4457 ± 0.0219,0.6933 ± 0.0353,0.8040 ± 0.0057,0.9450 ± 0.0048,0.8660 ± 0.0132,0.9237 ± 0.0031,0.9153 ± 0.0125,0.9622 ± 0.0017,0.8937 ± 0.0018
bank-marketing,TabDDPM,TabDDPM.csv,0.9227 ± 0.0028,0.9176 ± 0.0016,0.9073 ± 0.0022,0.6458 ± 0.0256,0.4905 ± 0.0299,0.2717 ± 0.0933,0.8428 ± 0.0063,0.9718 ± 0.0008,0.9351 ± 0.0186,0.9473 ± 0.0015,0.8820 ± 0.0142,0.9724 ± 0.0011,0.9036 ± 0.0026
bank-marketing,TVAE,TVAE.csv,0.9171 ± 0.0023,0.9145 ± 0.0016,0.9027 ± 0.0020,0.5474 ± 0.0245,0.3867 ± 0.0247,0.2700 ± 0.0422,0.8311 ± 0.0045,0.9619 ± 0.0023,0.9098 ± 0.0120,0.9395 ± 0.0020,0.8964 ± 0.0102,0.9669 ± 0.0009,0.8746 ± 0.0042
bank32nh,CTGAN,CTGAN.csv,0.9031 ± 0.0072,0.8976 ± 0.0082,0.8840 ± 0.0093,0.4786 ± 0.0884,0.3270 ± 0.0814,0.1827 ± 0.0825,0.8022 ± 0.0146,0.9523 ± 0.0076,0.9102 ± 0.0090,0.9277 ± 0.0073,0.8597 ± 0.0176,0.9543 ± 0.0075,0.7472 ± 0.0335
bank32nh,GaussianCopula,GaussianCopula.csv,0.8935 ± 0.0000,0.8916 ± 0.0000,0.8771 ± 0.0000,0.4359 ± 0.0000,0.2857 ± 0.0000,0.4113 ± 0.0000,0.7841 ± 0.0000,0.9452 ± 0.0000,0.8772 ± 0.0000,0.9194 ± 0.0000,0.8783 ± 0.0000,0.9525 ± 0.0000,0.7389 ± 0.0000
bank32nh,K-IPO,K-IPO.csv,0.9873 ± 0.0016,0.9879 ± 0.0015,0.9854 ± 0.0019,0.6393 ± 0.0403,0.4746 ± 0.0439,0.7746 ± 0.0082,0.9743 ± 0.0033,0.9813 ± 0.0016,0.9790 ± 0.0036,0.9843 ± 0.0013,0.9919 ± 0.0017,0.9928 ± 0.0007,0.9543 ± 0.0005
bank32nh,SMOTE,SMOTEWB.csv,0.9611 ± 0.0096,0.9609 ± 0.0099,0.9549 ± 0.0112,0.6152 ± 0.0334,0.4508 ± 0.0353,0.5544 ± 0.0981,0.9209 ± 0.0196,0.9827 ± 0.0019,0.9506 ± 0.0126,0.9719 ± 0.0047,0.9594 ± 0.0138,0.9892 ± 0.0017,0.8499 ± 0.0382
bank32nh,TabDDPM,TabDDPM.csv,0.8389 ± 0.0205,0.8347 ± 0.0196,0.8110 ± 0.0222,0.5049 ± 0.0408,0.3572 ± 0.0418,0.2105 ± 0.1528,0.6715 ± 0.0413,0.9028 ± 0.0234,0.8177 ± 0.0348,0.8708 ± 0.0217,0.8058 ± 0.0233,0.9102 ± 0.0184,0.6878 ± 0.0311
bank32nh,TVAE,TVAE.csv,0.9291 ± 0.0031,0.9253 ± 0.0034,0.9157 ± 0.0037,0.3461 ± 0.0512,0.2127 ± 0.0383,0.1532 ± 0.0562,0.8553 ± 0.0062,0.9730 ± 0.0014,0.9337 ± 0.0096,0.9511 ± 0.0021,0.8987 ± 0.0105,0.9732 ± 0.0016,0.8670 ± 0.0084
car-eval-4,CTGAN,CTGAN.csv,0.9829 ± 0.0006,0.9851 ± 0.0005,0.9805 ± 0.0007,0.9141 ± 0.0228,0.8548 ± 0.0404,0.9600 ± 0.0644,0.9659 ± 0.0012,0.9837 ± 0.0037,0.9617 ± 0.0013,0.9833 ± 0.0020,1.0000 ± 0.0000,0.9929 ± 0.0014,0.9678 ± 0.0026
